Floors,Bedrooms,Bathrooms,Building_Size_M2,Land_Size_M2,Latitude,Longitude,Price,District,City,Carport/Garage
2.0,3.0,4.0,98.0,94.0,-6.3360601,106.8256645,1650000000.0,Jagakarsa,Jakarta Selatan,0.0
1.0,3.0,2.0,160.0,183.0,-6.187507500000001,106.9593843,2170000000.0,Cakung,Jakarta Timur,0.0
3.0,4.0,4.0,603.0,264.0,-6.2775326,106.7794935,18000000000.0,Pondok Indah,Jakarta Selatan,4.0
1.0,5.0,3.0,320.0,264.0,-6.1236701011657715,106.75318145751953,11500000000.0,Pantai Indah Kapuk,Jakarta Utara,2.0
1.0,4.0,2.0,130.0,90.0,-6.150720119476318,106.74404907226562,3000000000.0,Cengkareng,Jakarta Barat,0.0
1.0,4.0,2.0,325.0,99.0,-6.13717,106.86524,4150000000.0000005,Sunter,Jakarta Utara,3.0
3.0,4.0,4.0,360.0,161.0,-6.13717,106.86524,6500000000.0,Sunter,Jakarta Utara,2.0
2.0,3.0,2.0,120.0,105.0,-6.17424,106.72051,1800000000.0,Duri Kosambi,Jakarta Barat,2.0
3.0,5.0,4.0,600.0,240.0,-6.1594869,106.8541776,4700000000.0,Kemayoran,Jakarta Pusat,2.0
3.0,3.0,4.0,234.0,96.0,-6.13717,106.86524,3650000000.0,Sunter,Jakarta Utara,1.0
3.0,2.0,3.0,250.0,108.0,-6.13717,106.86524,3850000000.0,Sunter,Jakarta Utara,2.0
3.0,4.0,2.0,200.0,93.0,-6.13717,106.86524,3200000000.0,Sunter,Jakarta Utara,1.0
2.0,3.0,3.0,400.0,427.0,-6.2452337,106.7999471,39800000000.0,Kebayoran Baru,Jakarta Selatan,2.0
4.0,6.0,4.0,883.0,300.0,-6.1713515,106.7839175,8500000000.0,Tanjung Duren,Jakarta Barat,4.0
3.0,3.0,3.0,270.0,136.0,-6.13717,106.86524,3970000000.0,Sunter,Jakarta Utara,1.0
2.0,5.0,3.0,180.0,153.0,-6.161308699999999,106.9049822,4000000000.0,Kelapa Gading,Jakarta Utara,1.0
2.0,5.0,3.0,150.0,110.0,-6.3153539,106.8928693,2200000000.0,Cipayung,Jakarta Timur,2.0
3.0,4.0,3.0,270.0,160.0,-6.334050178527832,106.79344177246094,4500000000.0,Cilandak,Jakarta Selatan,2.0
2.0,5.0,5.0,400.0,742.0,-6.270367,106.811741,20000000000.0,Cipete,Jakarta Selatan,2.0
1.0,3.0,2.0,250.0,550.0,-6.2452337,106.7999471,27500000000.0,Kebayoran Baru,Jakarta Selatan,1.0
3.0,5.0,5.0,465.0,168.0,-6.113894200000001,106.7853922,7800000000.0,Pluit,Jakarta Utara,4.0
3.0,6.0,6.0,800.0,450.0,-6.1026441,106.7411622,22000000000.0,Pantai Indah Kapuk,Jakarta Utara,0.0
2.0,4.0,3.0,150.0,90.0,-6.180283,106.710804,2500000000.0,Green Lake City,Jakarta Barat,2.0
2.0,5.0,3.0,405.0,391.0,-6.31001,106.85297,6500000000.0,Tanjung Barat,Jakarta Selatan,2.0
3.0,3.0,3.0,190.0,150.0,-6.1585,106.747,3650000000.0,Metland Puri,Jakarta Barat,2.0
2.0,4.0,4.0,500.0,300.0,-6.16868,106.75522,6800000000.0,Green garden,Jakarta Barat,2.0
1.0,2.0,1.0,70.0,108.0,-6.16868,106.75522,1950000000.0,Green garden,Jakarta Barat,2.0
