District,City,Latitude,Longitude,Price,Land_Size_M2,Building_Size_M2,Floors,Bedrooms,Bathrooms,Carport/Garage
Medan Satria,Bekasi,-6.1730925,106.9931081,465000000.0,60.0,50.0,1.0,2.0,1.0,0.0
Pondokgede,Bekasi,-6.2697026,106.9308294,1700000000.0,62.0,120.0,2.0,3.0,2.0,1.0
Tambun Utara,Bekasi,-6.22417,107.0416681,769000000.0,60.0,55.0,2.0,3.0,2.0,2.0
Babelan,Bekasi,-6.192581800000001,107.0332746,560500000.0,60.0,36.0,1.0,2.0,1.0,1.0
Babelan,Bekasi,-6.1902358,107.0196193,560500000.0,60.0,36.0,1.0,2.0,1.0,0.0
Tambun Selatan,Bekasi,-6.260510399999999,107.0557842,539000000.0,60.0,45.0,2.0,3.0,1.0,1.0
Mustikajaya,Bekasi,-6.296142800000001,107.0214912,850000000.0,90.0,65.0,1.0,3.0,2.0,1.0
Babelan,Bekasi,-6.1902358,107.0196193,185000000.0,60.0,27.0,1.0,2.0,1.0,0.0
Mustikajaya,Bekasi,-6.296142800000001,107.0214912,365000000.0,90.0,65.0,1.0,2.0,1.0,1.0
Pondokmelati,Bekasi,-6.296440899999999,106.9215663,1265000000.0,90.0,109.0,2.0,3.0,3.0,2.0
Bekasi Utara,Bekasi,-6.2277207,107.0016494,1300000000.0,80.0,130.0,2.0,3.0,3.0,2.0
Bekasi Utara,Bekasi,-6.2277207,107.0016494,1300000000.0,89.0,130.0,2.0,3.0,3.0,2.0
Bekasi Utara,Bekasi,-6.203464299999999,107.0042335,295000000.0,60.0,50.0,1.0,2.0,1.0,1.0
Tambun Utara,Bekasi,-6.22417,107.0416681,985000000.0,135.0,135.0,1.0,3.0,2.0,1.0
Bekasi Utara,Bekasi,-6.20792,107.020438,565000000.0,60.0,45.0,1.0,2.0,1.0,1.0
Jawa Barat,Bekasi,-6.366722999999999,107.1735638,630000000.0,73.0,46.0,1.0,2.0,1.0,1.0
Jatiasih,Bekasi,-6.3102117,106.9532337,775000000.0,80.0,70.0,2.0,2.0,2.0,1.0
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,777500000.0,60.0,79.0,2.0,3.0,2.0,1.0
Pondokgede,Bekasi,-6.2730676,106.9152021,1100000000.0,98.0,105.0,2.0,3.0,3.0,1.0
Jatiasih,Bekasi,-6.3102117,106.9532337,779000000.0,52.0,65.0,2.0,3.0,2.0,1.0
Bekasi Utara,Bekasi,-6.213085899999999,107.0144261,970000000.0,91.0,91.0,1.0,2.0,1.0,1.0
Medan Satria,Bekasi,-6.1730925,106.9931081,630000000.0,66.0,50.0,1.0,2.0,1.0,1.0
Bekasi Utara,Bekasi,-6.211765499999999,107.0038512,970000000.0,91.0,91.0,1.0,2.0,1.0,1.0
Medan Satria,Bekasi,-6.1817524,106.9736839,630000000.0,66.0,50.0,1.0,2.0,1.0,1.0
Babelan,Bekasi,-6.1779489,107.0362844,360000000.0,60.0,60.0,1.0,2.0,1.0,1.0
Tambun Selatan,Bekasi,-6.260510399999999,107.0557842,499000000.0,127.0,72.0,1.0,2.0,1.0,1.0
Bekasi Selatan,Bekasi,-6.2598431,106.9726004,3500000000.0,230.0,350.0,2.0,8.0,4.0,2.0
Tambun Selatan,Bekasi,-6.260510399999999,107.0557842,85000000.0,78.0,50.0,1.0,2.0,1.0,1.0
Medan Satria,Bekasi,-6.1730925,106.9931081,410000000.0,57.0,57.0,1.0,2.0,1.0,1.0
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,875000000.0,62.0,85.0,2.0,3.0,2.0,1.0
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,825000000.0,82.0,64.0,1.0,3.0,2.0,1.0
Tambun Utara,Bekasi,-6.22417,107.0416681,798000000.0,65.0,125.0,2.0,3.0,2.0,0.0
Bekasi Utara,Bekasi,-6.1800099,107.0054386,495000000.0,60.0,50.0,1.0,2.0,1.0,1.0
Babelan,Bekasi,-6.1824924,107.0133746,650000000.0,78.0,60.0,1.0,1.0,2.0,1.0
Rawalumbu,Bekasi,-6.277895399999999,106.9918311,700000000.0,72.0,120.0,2.0,3.0,2.0,0.0
Jawa Barat,Bekasi,-6.366722999999999,107.1735638,500000000.0,72.0,72.0,1.0,2.0,1.0,1.0
Rawalumbu,Bekasi,-6.277895399999999,106.9918311,650000000.0,120.0,80.0,1.0,3.0,2.0,0.0
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,595000000.0,72.0,45.0,1.0,2.0,1.0,1.0
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,1530000000.0,62.0,102.0,2.0,4.0,4.0,1.0
Babelan,Bekasi,-6.1758638,107.0273402,385000000.0,60.0,50.0,1.0,2.0,1.0,1.0
Tambun Utara,Bekasi,-6.22417,107.0416681,864000000.0,68.0,55.0,2.0,3.0,2.0,1.0
Jatiasih,Bekasi,-6.3102117,106.9532337,620000000.0,72.0,50.0,2.0,2.0,1.0,1.0
Mustikajaya,Bekasi,-6.296142800000001,107.0214912,496000000.0,60.0,40.0,1.0,2.0,1.0,0.0
Jawa Barat,Bekasi,-6.366722999999999,107.1735638,1117000000.0,67.0,72.0,2.0,3.0,2.0,1.0
Mustikajaya,Bekasi,-6.296142800000001,107.0214912,420000000.0,60.0,40.0,2.0,2.0,1.0,1.0
Tarumajaya,Bekasi,-6.116563999999999,106.993921,510000000.0,65.0,36.0,1.0,2.0,1.0,1.0
Jatiasih,Bekasi,-6.3102117,106.9532337,828000000.0,41.0,65.0,2.0,3.0,2.0,1.0
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,365000000.0,36.0,30.0,1.0,2.0,1.0,0.0
